
Run: 1 Realtime: 0 Accel sens: 2 Gyro sens: 250

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
2964515,-0.458008,-0.200684,0.868164,2.052307,0.404358,0.953674,22.705078,24.755859,-4.101563
5990569,-0.455811,-0.200684,0.864502,1.907349,0.328064,0.846863,22.705078,24.755859,-4.101563
8976007,-0.455078,-0.197021,0.860840,1.884460,0.587463,0.968933,22.705078,24.755859,-4.101563
11952009,-0.459473,-0.196045,0.862305,2.182007,0.556946,0.877380,22.705078,24.755859,-4.101563
14917755,-0.459473,-0.195068,0.866455,2.059937,0.373840,0.915527,22.705078,24.755859,-4.101563
17446578,-0.454590,-0.195068,0.858154,2.189636,0.259399,0.915527,22.851563,24.755859,-4.101563
19975401,-0.456787,-0.195557,0.857178,2.441406,0.358582,0.656128,22.851563,24.755859,-4.541016
22499710,-0.455078,-0.190186,0.865234,2.380371,0.076294,0.793457,22.851563,24.755859,-4.541016
25019097,-0.457031,-0.193359,0.852539,2.761841,0.175476,1.129150,22.851563,24.755859,-4.541016
27489663,-0.458496,-0.191650,0.861328,2.532959,0.083923,0.907898,22.851563,24.755859,-4.541016
29992639,-0.453125,-0.192627,0.866699,2.426147,0.289917,1.152039,22.851563,24.755859,-4.541016
32509565,-0.450928,-0.190430,0.860840,2.700806,0.022888,0.907898,22.851563,24.755859,-4.541016
35513054,-0.452637,-0.188477,0.865967,2.510071,-0.122070,1.045227,22.851563,24.755859,-4.541016
38057056,-0.453369,-0.192139,0.867188,2.380371,-0.030518,0.854492,23.071289,24.389648,-4.028320
40526392,-0.454346,-0.187744,0.868408,2.830505,0.022888,1.091003,23.071289,24.389648,-4.028320
42996958,-0.450928,-0.187256,0.863037,2.502441,-0.152588,1.022339,23.071289,24.389648,-4.028320
45578293,-0.449951,-0.187012,0.868164,2.548218,-0.106812,1.136780,23.071289,24.389648,-4.028320
48620757,-0.448730,-0.186523,0.874023,2.426147,-0.205994,1.167297,23.071289,24.389648,-4.028320
51574606,-0.447266,-0.186768,0.870361,2.616882,0.045776,1.228333,23.071289,24.389648,-4.028320
54083736,-0.448242,-0.188965,0.877686,2.464294,0.381470,1.281738,23.071289,24.389648,-4.028320
57088457,-0.447266,-0.186768,0.873047,2.555847,0.053406,1.075745,23.071289,24.389648,-4.028320
60073074,-0.448242,-0.188965,0.879150,2.227783,0.320435,1.220703,22.631836,25.415039,-4.321289
