
Run: 1 Realtime: 0 Accel sens: 8 Gyro sens: 1000

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
2720822,-0.985840,-0.123047,0.102783,2.685547,-0.091553,-1.098633,8.349609,28.125000,-15.527344
5319388,-0.988037,-0.119629,0.097412,2.960205,-0.457764,-0.793457,8.349609,28.125000,-15.527344
8333135,-0.984619,-0.121094,0.100830,2.532959,-0.091553,-1.281738,8.349609,28.125000,-15.527344
10845547,-0.985840,-0.122559,0.102783,2.380371,-0.122070,-0.854492,7.983398,28.637695,-15.454102
13800626,-0.987549,-0.128418,0.097656,2.746582,-0.122070,-0.915527,7.983398,28.637695,-15.454102
16500526,-0.980225,-0.123047,0.100098,2.838135,-0.122070,-0.701904,7.983398,28.637695,-15.454102
19000220,-0.981689,-0.123535,0.099609,2.380371,-0.030518,-0.732422,7.983398,28.637695,-15.454102
21912633,-0.982422,-0.124756,0.095703,2.655029,-0.061035,-0.518799,8.056641,27.832031,-15.820313
24800020,-0.982666,-0.125977,0.101807,2.746582,-0.061035,-0.610352,8.056641,27.832031,-15.820313
27821151,-0.983154,-0.127441,0.104248,2.563477,0.061035,-0.457764,8.056641,27.832031,-15.820313
30313050,-0.980957,-0.123779,0.094482,2.746582,0.183105,-0.366211,8.056641,27.832031,-15.820313
33012129,-0.985596,-0.122314,0.109375,2.655029,0.122070,-0.396729,8.056641,28.271484,-16.113281
35609875,-0.984619,-0.124756,0.097412,2.716064,0.274658,-0.305176,8.056641,28.271484,-16.113281
38562082,-0.986572,-0.121582,0.093506,2.227783,0.366211,-0.335693,8.056641,28.271484,-16.113281
41599623,-0.992920,-0.119629,0.099365,2.807617,0.518799,-0.610352,7.910156,28.857422,-15.966797
44590805,-0.984375,-0.121582,0.097412,2.685547,0.335693,-0.335693,7.910156,28.857422,-15.966797
47558603,-0.986816,-0.122314,0.095215,2.349854,0.488281,-0.244141,7.910156,28.857422,-15.966797
50093579,-0.987061,-0.121582,0.091797,2.563477,0.305176,-0.366211,7.910156,28.857422,-15.966797
53133582,-0.987305,-0.123535,0.104492,2.593994,0.732422,-0.335693,7.910156,28.857422,-15.966797
55620968,-0.990234,-0.119629,0.096191,2.593994,0.427246,-0.457764,7.910156,28.857422,-15.966797
58116560,-0.989014,-0.119629,0.093750,2.593994,0.183105,-0.427246,7.910156,28.857422,-15.966797
61122921,-0.990234,-0.120850,0.097656,2.716064,0.518799,-0.427246,8.642578,28.564453,-16.259766
63664872,-0.990234,-0.121338,0.098389,2.807617,0.457764,-0.579834,8.642578,28.564453,-16.259766
66646618,-0.986084,-0.120850,0.098633,2.502441,0.183105,-0.488281,8.642578,28.564453,-16.259766
